procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 0  0      0  25447     61   5814    0    0     0    49    1    1  2  1 98  0  0 2018-12-19 20:59:49
 0  1      0  25447     61   5815    0    0     0   472 2261 7364  1  0 98  1  0 2018-12-19 20:59:50
 0  0      0  25447     61   5815    0    0     0  1156 2522 7881  1  1 95  3  0 2018-12-19 20:59:51
 0  0      0  25448     61   5815    0    0     0     0 2108 7349  1  0 99  0  0 2018-12-19 20:59:52
 0  0      0  25449     61   5815    0    0     0     0 2142 7248  1  0 99  0  0 2018-12-19 20:59:53
 0  0      0  25450     61   5815    0    0     0    76 2507 8122  1  1 98  0  0 2018-12-19 20:59:54
 5  0      0  25436     61   5815    0    0     0     0 39667 34347 24  6 69  0  0 2018-12-19 20:59:55
 6  0      0  25434     61   5815    0    0     0     0 62936 49843 37 10 54  0  0 2018-12-19 20:59:56
 4  0      0  25436     61   5815    0    0     0     0 64877 50760 36  9 54  0  0 2018-12-19 20:59:57
 8  0      0  25411     61   5815    0    0     0     0 65928 54367 37  9 53  0  0 2018-12-19 20:59:58
 6  0      0  25435     61   5815    0    0     0     0 64765 53351 36 11 53  0  0 2018-12-19 20:59:59
 7  0      0  25434     61   5815    0    0     0     0 66485 51598 36 10 54  0  0 2018-12-19 21:00:00
 5  0      0  25433     61   5815    0    0     0     0 64923 51292 36  9 55  0  0 2018-12-19 21:00:01
 7  0      0  25408     61   5839    0    0     0   596 66173 51031 36 10 53  1  0 2018-12-19 21:00:02
 6  0      0  25411     61   5839    0    0     0     0 67202 51359 36 10 55  0  0 2018-12-19 21:00:03
 5  0      0  25408     61   5839    0    0     0     0 66510 51980 36 10 54  0  0 2018-12-19 21:00:04
 5  0      0  25410     61   5839    0    0     0     0 67921 52082 36 10 54  0  0 2018-12-19 21:00:05
 6  0      0  25411     61   5839    0    0     0     0 63598 51106 35 10 55  0  0 2018-12-19 21:00:06
 6  0      0  25409     61   5839    0    0     0     0 65552 51508 36  9 55  0  0 2018-12-19 21:00:07
 3  0      0  25410     61   5839    0    0     0     0 66401 50983 35 11 54  0  0 2018-12-19 21:00:08
 5  0      0  25412     61   5839    0    0     0     0 66399 52257 36 10 54  0  0 2018-12-19 21:00:09
 7  0      0  25407     61   5839    0    0     0     0 64400 50801 36 10 54  0  0 2018-12-19 21:00:10
 5  0      0  25406     61   5839    0    0     0     0 64205 51198 36 10 55  0  0 2018-12-19 21:00:11
 5  0      0  25408     61   5839    0    0     0     0 63662 50830 36  9 55  0  0 2018-12-19 21:00:12
 4  0      0  25410     61   5839    0    0     0     0 65255 51352 35 10 54  0  0 2018-12-19 21:00:13
 5  0      0  25409     61   5839    0    0     0     0 65134 51080 34 10 56  0  0 2018-12-19 21:00:14
 6  0      0  25411     61   5839    0    0     0    20 67372 51961 37 10 53  0  0 2018-12-19 21:00:15
 6  0      0  25412     61   5839    0    0     0     0 64174 51175 34 10 56  0  0 2018-12-19 21:00:16
 6  0      0  25409     61   5839    0    0     0  3368 65853 51899 36 10 54  0  0 2018-12-19 21:00:17
 7  0      0  25411     61   5839    0    0     0     0 64736 50314 36  9 55  0  0 2018-12-19 21:00:18
 6  0      0  25410     61   5839    0    0     0     0 64610 50725 37  8 55  0  0 2018-12-19 21:00:19
 5  0      0  25411     61   5839    0    0     0    12 66247 51740 36 10 54  0  0 2018-12-19 21:00:20
 5  0      0  25407     61   5839    0    0     0     0 65527 50767 36 11 54  0  0 2018-12-19 21:00:21
 3  0      0  25408     61   5839    0    0     0     0 64125 49730 36  9 55  0  0 2018-12-19 21:00:22
